,City,Latitude,Longitude,Jan(strt),Jan(end),Jan▲,Feb(strt),Feb(end),Feb▲,Mar(strt),Mar(end),Mar▲,Apr(strt),Apr(end),Apr▲,May(strt),May(end),May▲
0,Brasilia,-10.9,-37.55,91.48,88.04,-3.4399999999999977,89.99,92.9,4.859999999999999,90.81,81.07,-11.830000000000013,87.49,92.52,11.450000000000003,86.0,86.43,-6.089999999999989
1,Chengdu,30.68,104.06,44.89,47.61,2.719999999999999,54.19,52.94,5.329999999999998,48.59,69.13,16.189999999999998,62.66,81.41,12.280000000000001,76.0,83.97,2.5600000000000023
2,Kunshan,31.39,120.95,39.9,41.95,2.0500000000000043,40.18,51.35,9.399999999999999,51.8,59.39,8.04,68.08,62.72,3.3299999999999983,74.99,80.47,17.75
3,Penang,-7.81,113.99,88.7,89.01,0.3100000000000023,88.04,92.13,3.1199999999999903,88.33,89.84,-2.289999999999992,87.67,85.57,-4.27000000000001,86.32,91.94,6.3700000000000045
4,Mumbai,19.01,72.85,87.07,83.56,-3.509999999999991,81.52,83.6,0.03999999999999204,84.12,86.96,3.3599999999999994,87.42,91.25,4.290000000000006,90.23,91.17,-0.0799999999999983
5,Suzhou,31.3,120.58,42.78,45.18,2.3999999999999986,44.57,54.12,8.939999999999998,53.21,61.7,7.580000000000005,66.42,70.44,8.739999999999995,76.11,81.0,10.560000000000002
6,Taoyuan,24.99,121.3,63.69,80.75,17.060000000000002,58.05,67.52,-13.230000000000004,73.62,71.69,4.170000000000002,61.58,89.14,17.450000000000003,68.62,90.42,1.2800000000000011
