,City,Latitude,Longitude,Jan(strt),Jan(end),Jan(AVG),Feb(strt),Feb(end),Feb(AVG),Mar(strt),Mar(end),Mar(AVG),Apr(strt),Apr(end),Apr(AVG),May(strt),May(end),May(AVG)
0,Brasilia,-10.9,-37.55,91.48,88.04,89.76,89.99,92.9,91.445,90.81,81.07,85.94,87.49,92.52,90.005,86.0,86.43,86.215
1,Chengdu,30.68,104.06,44.89,47.61,46.25,54.19,52.94,53.565,48.59,69.13,58.86,62.66,81.41,72.035,76.0,83.97,79.985
2,Kunshan,31.39,120.95,39.9,41.95,40.925,40.18,51.35,45.765,51.8,59.39,55.595,68.08,62.72,65.4,74.99,80.47,77.72999999999999
3,Penang,-7.81,113.99,88.7,89.01,88.855,88.04,92.13,90.08500000000001,88.33,89.84,89.08500000000001,87.67,85.57,86.62,86.32,91.94,89.13
4,Mumbai,19.01,72.85,87.07,83.56,85.315,81.52,83.6,82.56,84.12,86.96,85.53999999999999,87.42,91.25,89.33500000000001,90.23,91.17,90.7
5,Suzhou,31.3,120.58,42.78,45.18,43.980000000000004,44.57,54.12,49.345,53.21,61.7,57.455,66.42,70.44,68.43,76.11,81.0,78.555
6,Taoyuan,24.99,121.3,63.69,80.75,72.22,58.05,67.52,62.785,73.62,71.69,72.655,61.58,89.14,75.36,68.62,90.42,79.52000000000001
